,50-SHD,50-ACC,500-SHD,500-ACC,2000-SHD,2000-ACC,5000-SHD,5000-ACC
ga,55.0,0.9216524216524217,68.0,0.9031339031339032,64.0,0.9088319088319088,70.0,0.9002849002849003
hc,18.0,0.9761904761904762,31.0,0.958994708994709,38.0,0.9497354497354498,42.0,0.9444444444444444
mmhc,8.0,0.9894179894179894,17.0,0.9775132275132276,23.0,0.9695767195767195,26.0,0.9656084656084656
tabu,18.0,0.9761904761904762,31.0,0.958994708994709,39.0,0.9484126984126984,42.0,0.9444444444444444
kbnl,11.0,0.9843304843304843,26.0,0.9629629629629629,34.0,0.9515669515669516,39.0,0.9444444444444444
kbnl_c,9.0,0.9871794871794872,23.0,0.9672364672364673,32.0,0.9544159544159544,37.0,0.9472934472934473
