,50-SHD,50-ACC,500-SHD,500-ACC,2000-SHD,2000-ACC,5000-SHD,5000-ACC
ga,293.0,0.9048701298701298,279.0,0.9094155844155845,276.0,0.9103896103896104,259.0,0.9159090909090909
hc,79.0,0.9743506493506493,60.0,0.9805194805194806,29.0,0.9905844155844156,19.0,0.9938311688311688
mmhc,60.0,0.9805194805194806,47.0,0.9847402597402597,38.0,0.9876623376623377,34.0,0.9889610389610389
tabu,75.0,0.9756493506493507,53.0,0.9827922077922078,29.0,0.9905844155844156,19.0,0.9938311688311688
kbnl,70.0,0.9772727272727273,48.0,0.9844155844155844,29.0,0.9905844155844156,26.0,0.9915584415584415
kbnl_c,60.0,0.9805194805194806,45.0,0.9853896103896104,28.0,0.990909090909091,23.0,0.9925324675324675
