,alarm-200,alarm-2000,alarm-50,alarm-5000,asia-200,asia-2000,asia-50,asia-5000,hailfinder-200,hailfinder-2000,hailfinder-50,hailfinder-5000,insurance-200,insurance-2000,insurance-50,insurance-5000
hc,0.2826086956521739,0.8043478260869565,0.1956521739130435,0.8043478260869565,0.75,0.875,0.375,0.875,0.36363636363636365,0.7272727272727273,0.12121212121212122,0.803030303030303,0.25,0.36538461538461536,0.1346153846153846,0.5576923076923077
mmhc,0.21739130434782608,0.4782608695652174,0.13043478260869565,0.6086956521739131,0.5,0.625,0.375,0.625,0.3181818181818182,0.4393939393939394,0.13636363636363635,0.48484848484848486,0.15384615384615385,0.3269230769230769,0.11538461538461539,0.36538461538461536
rsmax2,0.1956521739130435,0.45652173913043476,0.13043478260869565,0.43478260869565216,0.5,0.625,0.375,0.625,0.3181818181818182,0.45454545454545453,0.15151515151515152,0.5,0.17307692307692307,0.2692307692307692,0.11538461538461539,0.21153846153846154
tabu,0.32608695652173914,0.6956521739130435,0.15217391304347827,0.6956521739130435,0.75,0.875,0.375,0.875,0.4393939393939394,0.7272727272727273,0.16666666666666666,0.803030303030303,0.34615384615384615,0.4230769230769231,0.1346153846153846,0.5
