,alarm-200,alarm-2000,alarm-50,alarm-5000,asia-200,asia-2000,asia-50,asia-5000,hailfinder-200,hailfinder-2000,hailfinder-50,hailfinder-5000,insurance-200,insurance-2000,insurance-50,insurance-5000
hc,7.211102550927978,4.0,7.54983443527075,3.872983346207417,1.4142135623730951,1.0,2.8284271247461903,1.0,7.745966692414834,5.385164807134504,9.0,4.358898943540674,7.14142842854285,7.211102550927978,7.483314773547883,6.0
mmhc,6.6332495807108,5.477225575051661,6.6332495807108,4.898979485566356,2.0,1.7320508075688772,2.23606797749979,1.7320508075688772,6.855654600401044,6.164414002968976,7.745966692414834,5.830951894845301,7.0710678118654755,6.4031242374328485,6.928203230275509,6.324555320336759
rsmax2,6.6332495807108,5.5677643628300215,6.6332495807108,5.916079783099616,2.0,1.7320508075688772,2.23606797749979,1.7320508075688772,6.782329983125268,6.082762530298219,7.681145747868608,5.744562646538029,7.0,6.708203932499369,6.928203230275509,7.0
tabu,6.928203230275509,5.0990195135927845,7.810249675906654,5.0990195135927845,1.4142135623730951,1.0,2.8284271247461903,1.0,7.0710678118654755,5.385164807134504,8.660254037844387,4.358898943540674,6.4031242374328485,6.855654600401044,7.483314773547883,6.48074069840786
