,alarm-200,alarm-2000,alarm-50,alarm-5000,asia-200,asia-2000,asia-50,asia-5000,hailfinder-200,hailfinder-2000,hailfinder-50,hailfinder-5000,insurance-200,insurance-2000,insurance-50,insurance-5000
hc,0.960960960960961,0.987987987987988,0.9572072072072072,0.9887387387387387,0.9642857142857143,0.9821428571428571,0.8571428571428571,0.9821428571428571,0.9805194805194806,0.9905844155844156,0.9737012987012987,0.9938311688311688,0.9273504273504274,0.9259259259259259,0.9202279202279202,0.9487179487179487
mmhc,0.9669669669669669,0.9774774774774775,0.9669669669669669,0.9819819819819819,0.9285714285714286,0.9464285714285714,0.9107142857142857,0.9464285714285714,0.9847402597402597,0.9876623376623377,0.9805194805194806,0.9889610389610389,0.9287749287749287,0.9415954415954416,0.9316239316239316,0.9430199430199431
rsmax2,0.9669669669669669,0.9767267267267268,0.9669669669669669,0.9737237237237237,0.9285714285714286,0.9464285714285714,0.9107142857142857,0.9464285714285714,0.9850649350649351,0.987987012987013,0.9808441558441559,0.9892857142857143,0.9301994301994302,0.9358974358974359,0.9316239316239316,0.9301994301994302
tabu,0.963963963963964,0.9804804804804805,0.9542042042042042,0.9804804804804805,0.9642857142857143,0.9821428571428571,0.8571428571428571,0.9821428571428571,0.9837662337662337,0.9905844155844156,0.9756493506493507,0.9938311688311688,0.9415954415954416,0.9330484330484331,0.9202279202279202,0.9401709401709402
