,alarm-200,alarm-2000,alarm-50,alarm-5000,asia-200,asia-2000,asia-50,asia-5000,hailfinder-200,hailfinder-2000,hailfinder-50,hailfinder-5000,insurance-200,insurance-2000,insurance-50,insurance-5000
hc,0.33333333333333337,0.8222222222222223,0.24,0.8314606741573034,0.8571428571428571,0.9333333333333333,0.42857142857142855,0.9333333333333333,0.4444444444444444,0.768,0.16494845360824742,0.8480000000000001,0.33766233766233766,0.42222222222222217,0.19999999999999998,0.6170212765957447
mmhc,0.3125,0.5945945945945946,0.21428571428571427,0.7,0.6666666666666666,0.7692307692307693,0.5454545454545454,0.7692307692307693,0.47191011235955055,0.6041666666666667,0.23076923076923075,0.653061224489796,0.24242424242424246,0.4533333333333333,0.19999999999999998,0.4871794871794871
rsmax2,0.2903225806451613,0.5753424657534246,0.21428571428571427,0.5333333333333333,0.6666666666666666,0.7692307692307693,0.5454545454545454,0.7692307692307693,0.47727272727272724,0.6185567010309277,0.25316455696202533,0.6666666666666666,0.26865671641791045,0.38356164383561636,0.19999999999999998,0.30985915492957744
tabu,0.38461538461538464,0.711111111111111,0.18666666666666665,0.711111111111111,0.8571428571428571,0.9333333333333333,0.42857142857142855,0.9333333333333333,0.537037037037037,0.768,0.22680412371134023,0.8480000000000001,0.4675324675324676,0.48351648351648346,0.19999999999999998,0.5531914893617021
