,alarm-200,alarm-2000,alarm-50,alarm-5000,asia-200,asia-2000,asia-50,asia-5000,hailfinder-200,hailfinder-2000,hailfinder-50,hailfinder-5000,insurance-200,insurance-2000,insurance-50,insurance-5000
hc,0.40625,0.8409090909090909,0.3103448275862069,0.8604651162790697,1.0,1.0,0.5,1.0,0.5714285714285714,0.8135593220338984,0.25806451612903225,0.8983050847457628,0.52,0.5,0.3888888888888889,0.6904761904761905
mmhc,0.5555555555555556,0.7857142857142857,0.6,0.8235294117647058,1.0,1.0,1.0,1.0,0.9130434782608695,0.9666666666666667,0.75,1.0,0.5714285714285714,0.7391304347826086,0.75,0.7307692307692307
rsmax2,0.5625,0.7777777777777778,0.6,0.6896551724137931,1.0,1.0,1.0,1.0,0.9545454545454546,0.967741935483871,0.7692307692307693,1.0,0.6,0.6666666666666666,0.75,0.5789473684210527
tabu,0.46875,0.7272727272727273,0.2413793103448276,0.7272727272727273,1.0,1.0,0.5,1.0,0.6904761904761905,0.8135593220338984,0.3548387096774194,0.8983050847457628,0.72,0.5641025641025641,0.3888888888888889,0.6190476190476191
