,50-SHD,50-ACC,500-SHD,500-ACC,2000-SHD,2000-ACC,5000-SHD,5000-ACC
ga,130.0,0.9024024024024024,158.0,0.8813813813813813,137.0,0.8971471471471472,143.0,0.8926426426426426
hc,59.0,0.9557057057057057,28.0,0.978978978978979,18.0,0.9864864864864865,20.0,0.984984984984985
mmhc,44.0,0.9669669669669669,38.0,0.9714714714714715,30.0,0.9774774774774775,24.0,0.9819819819819819
tabu,61.0,0.9542042042042042,43.0,0.9677177177177178,26.0,0.9804804804804805,26.0,0.9804804804804805
kbnl,45.0,0.9662162162162162,39.0,0.9707207207207207,23.0,0.9827327327327328,19.0,0.9857357357357357
kbnl_c,45.0,0.9662162162162162,37.0,0.9722222222222222,22.0,0.9834834834834835,30.0,0.9774774774774775
