,50-SHD,50-ACC,500-SHD,500-ACC,2000-SHD,2000-ACC,5000-SHD,5000-ACC
ga,8.0,0.8571428571428571,10.0,0.8214285714285714,18.0,0.6785714285714286,20.0,0.6428571428571429
hc,10.0,0.8214285714285714,2.0,0.9642857142857143,1.0,0.9821428571428571,3.0,0.9464285714285714
mmhc,5.0,0.9107142857142857,3.0,0.9464285714285714,3.0,0.9464285714285714,3.0,0.9464285714285714
tabu,8.0,0.8571428571428571,2.0,0.9642857142857143,1.0,0.9821428571428571,1.0,0.9821428571428571
kbnl,9.0,0.8392857142857143,1.0,0.9821428571428571,1.0,0.9821428571428571,1.0,0.9821428571428571
kbnl_c,5.0,0.9107142857142857,1.0,0.9821428571428571,1.0,0.9821428571428571,1.0,0.9821428571428571
